Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
chế độ street view,19,19,30,30,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.17,128,"11, 11, 11, 11, 100, 11, 11, 78, 11, 11, 56, 33",2026-07-12,"Sitelinks, Reviews, Video, Related searches, Short videos, AI overview",informational,Organic
báo marketing,12,0,30,60,0.00,https://brando.vn/bang-gia-quang-cao-bao-brands-vietnam/,0,0,0.00,0.13,138,"11, 44, 11, 11, 44, 44, 11, 11, 100, 11, 56, 44",2026-08-09,"Sitelinks, Reviews, Video, Related searches, AI overview",navigational,Organic
booking báo điện tử,18,18,30,9,0.00,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.8,108,"100, 78, 11, 11, 11, 11, 100, 11, 11, 22, 11, 11",2026-07-07,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
bảng giá quảng cáo vtv,16,16,30,3,0.10,https://brando.vn/bang-gia-quang-cao-bao-vtv/,0,0,0.00,0.33,165,"11, 11, 11, 44, 11, 11, 22, 100, 78, 11, 22, 11",2026-07-20,"Reviews, Video, Related searches, AI overview",informational,Organic
bao an ninh thu do,19,19,590,34,0.00,https://brando.vn/bang-gia-quang-cao-bao-an-ninh-thu-do/,0,0,0.00,0.33,797,"100, 82, 67, 55, 67, 67, 67, 55, 44, 44, 44, 55",2026-06-30,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
isobar việt nam,30,30,30,16,0.00,https://brando.vn/,0,0,0.00,0.33,98,"11, 100, 100, 11, 11, 44, 11, 78, 11, 22, 11, 11",2026-07-05,"Knowledge panel, Reviews, Video, Related searches","informational, transactional",Organic
bảng giá quảng cáo trên vtv3,22,22,30,2,0.00,https://brando.vn/bang-gia-quang-cao-bao-vtv/,0,0,0.00,0.33,103,"78, 44, 11, 44, 22, 11, 11, 11, 11, 11, 100, 11",2026-06-12,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
quảng cáo google map,26,26,6600,21,1.62,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.02,105,"0, 0, 1, 2, 2, 1, 1, 1, 16, 100, 55, 13",2026-07-30,"Image pack, Reviews, Video, Ads top, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
guest post là gì,1,1,210,15,0.18,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.05,108,"66, 81, 66, 100, 66, 53, 53, 28, 81, 66, 81, 81",2026-07-30,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
dịch vụ xác minh map,21,21,140,3,0.00,https://brando.vn/dich-vu-google-map/dich-vu-xac-minh-google-map/,0,0,0.00,0.02,117,"2, 1, 100, 2, 1, 1, 19, 1, 1, 2, 67, 1",2026-07-25,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
dịch vụ seo google maps,39,39,1300,17,0.49,https://brando.vn/dich-vu-google-map/dich-vu-seo-google-maps/,0,0,0.00,0.02,101,"24, 35, 3, 7, 100, 44, 54, 7, 5, 4, 11, 16",2026-07-12,"Image pack, Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
báo giá pr vnexpress,16,16,40,3,0.19,https://brando.vn/bang-gia-quang-cao-bao-vnexpress/,0,0,0.00,0.31,125,"33, 11, 22, 100, 56, 44, 44, 56, 11, 11, 78, 22",2026-06-24,"Sitelinks, Reviews, Related searches",informational,Organic
conando corp,12,12,30,9,0.00,https://brando.vn/tin-tuc/,0,0,0.00,0,108,"44, 100, 44, 33, 11, 11, 22, 11, 11, 44, 11, 0",2026-06-28,"Reviews, Video",informational,Organic
conando corp,22,22,30,9,0.00,https://brando.vn/cong-ty-brando-phat-bieu-muc-tieu-2020-trong-year-end-party-conando/,0,0,0.00,0,108,"44, 100, 44, 33, 11, 11, 22, 11, 11, 44, 11, 0",2026-06-28,"Reviews, Video",informational,Organic
conando corp,85,85,30,9,0.00,https://brando.vn/,0,0,0.00,0,108,"44, 100, 44, 33, 11, 11, 22, 11, 11, 44, 11, 0",2026-06-28,"Reviews, Video",informational,Organic
hướng dẫn quảng cáo google map,23,23,30,13,0.00,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.33,106,"22, 56, 11, 11, 11, 22, 44, 33, 11, 11, 100, 11",2026-08-01,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
google maps go,1,1,170,33,0.00,https://brando.vn/ung-dung-google-maps-go-cho-may-cau-hinh-yeu/,0,0,0.00,0.02,105,"44, 53, 44, 28, 28, 53, 53, 100, 100, 53, 44, 34",2026-06-23,"Sitelinks, Reviews, People also ask, Related searches, AI overview","informational, navigational",AI overview
google maps go,9,9,170,33,0.00,https://brando.vn/ung-dung-google-maps-go-cho-may-cau-hinh-yeu/,0,0,0.00,0.02,105,"44, 53, 44, 28, 28, 53, 53, 100, 100, 53, 44, 34",2026-06-23,"Sitelinks, Reviews, People also ask, Related searches, AI overview","informational, navigational",Organic
bảng giá báo thanh niên,4,4,30,9,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.11,103,"100, 100, 75, 25, 100, 25, 25, 75, 100, 50, 75, 25",2026-07-09,"Reviews, Related searches, AI overview",informational,AI overview
bảng giá báo thanh niên,13,13,30,9,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.11,103,"100, 100, 75, 25, 100, 25, 25, 75, 100, 50, 75, 25",2026-07-09,"Reviews, Related searches, AI overview",informational,Organic
bảng giá báo thanh niên,60,60,30,9,0.00,https://brando.vn/bang-gia-quang-cao-bao-vietnam-news/,0,0,0.00,0.11,103,"100, 100, 75, 25, 100, 25, 25, 75, 100, 50, 75, 25",2026-07-09,"Reviews, Related searches, AI overview",informational,Organic
local seo,29,29,210,31,0.34,https://brando.vn/local-seo-la-gi/,0,0,0.00,0.06,128,"100, 67, 44, 44, 44, 82, 23, 28, 54, 54, 100, 67",2026-06-16,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, AI overview",informational,Organic
báo giá vnexpress,17,17,30,4,0.18,https://brando.vn/bang-gia-quang-cao-bao-vnexpress/,0,0,0.00,0.1,126,"100, 36, 9, 36, 27, 9, 9, 18, 9, 100, 9, 9",2026-06-26,"Sitelinks, Reviews, Related searches",informational,Organic
isobar agency,44,44,30,16,0.00,https://brando.vn/,0,0,0.00,0.3,142,"14, 71, 57, 100, 14, 14, 14, 57, 14, 43, 14, 29",2026-07-13,"Knowledge panel, Reviews, Video, Related searches, AI overview",informational,Organic
các ký hiệu trên google map,11,11,50,11,0.00,https://brando.vn/y-nghia-mau-sac-tren-google-map/,0,0,0.00,0.33,108,"14, 50, 100, 79, 14, 36, 50, 7, 21, 7, 7, 14",2026-06-22,"Image pack, Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
chạy quảng cáo google map,24,24,210,20,0.77,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.59,107,"35, 35, 35, 35, 81, 100, 67, 54, 29, 23, 44, 44",2026-06-17,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
bảng giá đăng tin batdongsan com vn,19,19,30,23,0.00,https://brando.vn/bang-gia-quang-cao-bao-batdongsan-com-vn/,0,0,0.00,0.33,105,"71, 29, 29, 14, 43, 14, 14, 14, 71, 14, 100, 29",2026-07-11,"Video, Related searches, AI overview",informational,Organic
gia bao hanoi,30,30,30,29,0.00,https://brando.vn/bang-gia-quang-cao-bao-ha-noi-moi/,0,0,0.00,0.33,32500000,"57, 29, 14, 43, 14, 57, 29, 100, 57, 43, 29, 14",2026-07-28,"Local pack, Sitelinks, Reviews, Video, Related searches",commercial,Organic
báo pr,31,31,30,,0.00,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.16,136,"56, 11, 11, 11, 11, 11, 11, 11, 100, 11, 100, 78",2026-07-25,"Image pack, Reviews, Video, Related searches",informational,Organic
bao cafeland,8,8,30,32,0.00,https://brando.vn/bang-gia-quang-cao-bao-cafeland/,0,0,0.00,0.33,131,"100, 40, 20, 20, 40, 20, 60, 100, 60, 20, 100, 20",2026-07-10,"Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
booking quảng cáo báo,26,26,30,13,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.57,5540000,"78, 22, 11, 22, 11, 11, 11, 100, 11, 33, 11, 11",2026-07-07,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
booking quảng cáo báo,58,58,30,13,0.00,https://brando.vn/bang-gia-quang-cao-bao-24h/,0,0,0.00,0.57,5540000,"78, 22, 11, 22, 11, 11, 11, 100, 11, 33, 11, 11",2026-07-07,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
báo giá banner vietnamnet,18,18,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-vietnamnet/,0,0,0.00,0.09,121,"11, 22, 11, 11, 100, 11, 22, 11, 11, 33, 100, 33",2026-07-11,"Reviews, Related searches",informational,Organic
báo giá banner vietnamnet,51,51,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-vietnam-news/,0,0,0.00,0.09,121,"11, 22, 11, 11, 100, 11, 22, 11, 11, 33, 100, 33",2026-07-11,"Reviews, Related searches",informational,Organic
google chế độ xem phố,35,35,30,52,0.44,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.2,104,"71, 14, 14, 43, 14, 100, 14, 100, 29, 14, 14, 29",2026-07-04,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
branding agency,35,35,210,29,0.59,https://brando.vn/,0,0,0.00,0.32,137,"66, 66, 53, 66, 44, 44, 66, 53, 100, 66, 53, 66",2026-08-04,"Knowledge panel, Local pack, Reviews, Video, Related searches, AI overview",informational,Organic
local seo là gì,12,12,30,16,0.00,https://brando.vn/local-seo-la-gi/,0,0,0.00,0.05,123,"11, 11, 78, 11, 22, 33, 11, 22, 11, 11, 100, 11",2026-08-04,"Sitelinks, Reviews, Video, AI overview",informational,Organic
book pr,1,1,30,6,0.27,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.16,36,"11, 11, 33, 33, 11, 100, 11, 78, 11, 11, 100, 11",2026-07-19,"Reviews, Video, Related searches, AI overview",informational,AI overview
book pr,16,16,30,6,0.27,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.16,36,"11, 11, 33, 33, 11, 100, 11, 78, 11, 11, 100, 11",2026-07-19,"Reviews, Video, Related searches, AI overview",informational,Organic
guest post service,41,41,30,19,0.90,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.53,136,"11, 11, 11, 11, 44, 11, 11, 33, 100, 100, 11, 11",2026-07-31,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
book báo chí,26,26,110,8,0.54,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.37,134,"79, 100, 100, 79, 79, 79, 79, 36, 79, 64, 64, 79",2026-07-25,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
google maps ads,23,23,110,43,10.32,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.32,106,"50, 64, 79, 64, 79, 64, 79, 64, 64, 100, 79, 79",2026-06-24,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
google maps ads,31,31,110,43,10.32,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.32,106,"50, 64, 79, 64, 79, 64, 79, 64, 64, 100, 79, 79",2026-06-24,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
brandee,39,39,140,39,0.00,https://brando.vn/,0,0,0.00,0.05,105,"100, 3, 4, 15, 100, 1, 3, 3, 1, 1, 4, 3",2026-08-05,"Knowledge panel, Sitelinks, Reviews, Video",informational,Organic
báo giá quảng cáo truyền hình,18,18,30,1,0.00,https://brando.vn/bang-gia-quang-cao-bao-vtv/,0,0,0.00,0.02,121,"14, 43, 71, 14, 100, 14, 14, 100, 57, 14, 29, 29",2026-06-27,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
bảng giá quảng cáo trên tạp chí,14,14,30,5,0.00,https://brando.vn/bang-gia-quang-cao-bao-tap-chi-xay-dung/,0,0,0.00,0.33,112,"56, 100, 11, 22, 11, 11, 11, 22, 11, 78, 11, 22",2026-07-23,Related searches,informational,Organic
bảng giá quảng cáo trên tạp chí,21,21,30,5,0.00,https://brando.vn/bang-gia-quang-cao-bao-doanh-nghiep-vn/,0,0,0.00,0.33,112,"56, 100, 11, 22, 11, 11, 11, 22, 11, 78, 11, 22",2026-07-23,Related searches,informational,Organic
booking báo chí,30,30,110,8,0.54,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.37,110,"79, 100, 100, 79, 79, 79, 79, 36, 79, 64, 64, 79",2026-07-23,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
sử dụng google map,35,35,30,35,0.03,https://brando.vn/google-map-la-gi/,0,0,0.00,0.08,104,"6, 100, 6, 12, 6, 6, 6, 29, 24, 6, 6, 29",2026-07-09,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
báo giá quảng cáo dân trí,16,16,30,1,0.00,https://brando.vn/bang-gia-quang-cao-bao-dan-tri/,0,0,0.00,0.2,126,"11, 11, 44, 22, 11, 22, 22, 33, 11, 11, 56, 100",2026-07-11,"Sitelinks, Reviews, Related searches",commercial,Organic
báo giá quảng cáo dân trí,43,43,30,1,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.2,126,"11, 11, 44, 22, 11, 22, 22, 33, 11, 11, 56, 100",2026-07-11,"Sitelinks, Reviews, Related searches",commercial,Organic
dùng google map,32,32,40,42,0.00,https://brando.vn/google-map-la-gi/,0,0,0.00,0.33,107,"100, 6, 3, 6, 6, 3, 3, 3, 9, 3, 3, 12",2026-07-16,"Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
mua guest post,39,39,50,16,1.43,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.28,99,"3, 5, 8, 100, 28, 3, 13, 3, 5, 3, 3, 3",2026-06-18,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
giá đăng bài trên fanpage,1,1,30,2,0.00,https://brando.vn/bang-gia-booking-fanpage/,0,0,0.00,0.33,20,"14, 14, 14, 14, 29, 14, 100, 14, 14, 100, 14, 100",2026-07-25,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
công ty brand,27,27,30,12,0.00,https://brando.vn/,0,0,0.00,0.33,95,"33, 11, 22, 100, 11, 11, 11, 11, 33, 56, 22, 11",2026-07-28,"Video, Related searches, AI overview",informational,Organic
street view 360 google,15,15,30,27,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.07,106,"14, 57, 14, 100, 43, 14, 29, 29, 14, 100, 14, 29",2026-07-04,"Sitelinks, Reviews, Video, Related searches, AI overview","navigational, transactional",Organic
giá quảng cáo trên vtv3,28,28,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-vtv/,0,0,0.00,0.02,162,"56, 11, 56, 11, 11, 33, 11, 11, 100, 11, 22, 33",2026-07-14,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
gobranding,45,45,260,21,2.70,https://brando.vn/,0,0,0.00,0.18,99,"81, 81, 100, 81, 81, 81, 66, 53, 100, 81, 100, 100",2026-07-26,"Knowledge panel, Reviews, Video, Image, People also ask, Related searches",informational,Organic
group o agency,48,48,30,13,0.00,https://brando.vn/,0,0,0.00,0.33,128,"14, 71, 14, 14, 43, 14, 100, 14, 14, 14, 100, 29",2026-06-19,Reviews,informational,Organic
toplis,5,5,50,34,0.00,https://brando.vn/dich-vu-toplist/,0,0,0.00,0,109,"2, 2, 2, 2, 6, 2, 6, 2, 2, 4, 4, 100",2026-06-28,"Knowledge panel, Sitelinks, Reviews, Video, Image, Related searches",navigational,Organic
bảng giá quảng cáo vtv1,11,16,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-vtv/,0,0,0.00,0.04,103,"14, 14, 71, 100, 14, 14, 14, 29, 71, 57, 100, 14",2026-08-09,"Reviews, Video, Related searches, AI overview",informational,Organic
brang,50,50,70,35,0.00,https://brando.vn/,0,0,0.00,0.33,107,"8, 2, 3, 2, 2, 2, 100, 19, 12, 2, 3, 3",2026-06-17,"Image pack, Reviews, Video, Related searches, AI overview",informational,Organic
google street view là gì,11,11,30,31,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.01,107,"79, 100, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7",2026-06-26,"Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
mua bài viết báo,38,38,30,16,0.00,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.55,137,"14, 100, 71, 14, 14, 57, 14, 43, 71, 14, 100, 29",2026-07-16,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
afamily logo,13,13,110,71,0.00,https://brando.vn/bang-gia-quang-cao-bao-afamily/,0,0,0.00,0.33,116,"79, 64, 64, 79, 64, 79, 64, 64, 79, 64, 100, 79",2026-08-02,"Image pack, Sitelinks, Video, Related searches","informational, navigational",Organic
guest post la gi,10,10,30,12,0.00,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.04,113,"78, 33, 11, 33, 11, 100, 22, 22, 11, 11, 11, 11",2026-07-12,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
guest post la gi,24,24,30,12,0.00,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.04,113,"78, 33, 11, 33, 11, 100, 22, 22, 11, 11, 11, 11",2026-07-12,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
báo giá afamily,83,83,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-gia-dinh-phap-luat/,0,0,0.00,0.14,126,"11, 11, 56, 22, 100, 11, 22, 78, 33, 11, 11, 56",2026-07-08,"Reviews, Related searches",commercial,Organic
báo giá afamily,88,88,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-hang-hoa-thuong-hieu/,0,0,0.00,0.14,126,"11, 11, 56, 22, 100, 11, 22, 78, 33, 11, 11, 56",2026-07-08,"Reviews, Related searches",commercial,Organic
báo giá afamily,90,90,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-dau-tu/,0,0,0.00,0.14,126,"11, 11, 56, 22, 100, 11, 22, 78, 33, 11, 11, 56",2026-07-08,"Reviews, Related searches",commercial,Organic
báo giá afamily,92,92,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-yan/,0,0,0.00,0.14,126,"11, 11, 56, 22, 100, 11, 22, 78, 33, 11, 11, 56",2026-07-08,"Reviews, Related searches",commercial,Organic
branding agency vietnam,31,31,140,28,0.61,https://brando.vn/,0,0,0.00,0.15,128,"54, 42, 65, 65, 100, 35, 65, 27, 35, 100, 42, 42",2026-06-22,"Local pack, Reviews, Video, Related searches",commercial,Organic
báo giá bài pr vnexpress,8,8,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-vnexpress/,0,0,0.00,0.06,20,"11, 11, 11, 78, 11, 22, 100, 11, 11, 11, 56, 56",2026-07-25,"Sitelinks, Ads top, Related searches",informational,Organic
giá pr,23,23,40,21,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.33,105,"33, 11, 100, 33, 78, 11, 11, 22, 100, 78, 11, 44",2026-07-12,"Reviews, Image, People also ask, Related searches, AI overview",informational,Organic
gì map,25,25,40,66,0.00,https://brando.vn/google-map-la-gi/,0,0,0.00,0.01,133,"100, 6, 6, 6, 6, 6, 24, 53, 6, 29, 6, 6",2026-08-05,"Image pack, Reviews, Video, Related searches, AI overview",navigational,Organic
google maps camera,26,26,70,68,0.06,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.24,109,"5, 100, 5, 43, 14, 67, 5, 5, 5, 52, 19, 52",2026-06-29,"Image pack, Reviews, Video, Image, Related searches",navigational,Organic
booking báo vnexpress,13,13,30,3,0.17,https://brando.vn/bang-gia-quang-cao-bao-vnexpress/,0,0,0.00,0.38,103,"57, 14, 71, 14, 14, 43, 71, 43, 14, 100, 14, 14",2026-07-07,"Sitelinks, Reviews, Related searches",commercial,Organic
booking báo vnexpress,42,42,30,3,0.17,https://brando.vn/bang-gia-quang-cao-bao-ngoi-sao-vnexpress/,0,0,0.00,0.38,103,"57, 14, 71, 14, 14, 43, 71, 43, 14, 100, 14, 14",2026-07-07,"Sitelinks, Reviews, Related searches",commercial,Organic
booking báo vnexpress,88,88,30,3,0.17,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.38,103,"57, 14, 71, 14, 14, 43, 71, 43, 14, 100, 14, 14",2026-07-07,"Sitelinks, Reviews, Related searches",commercial,Organic
cách đặt mua báo hoa học trò,18,18,30,12,0.00,https://brando.vn/bang-gia-quang-cao-bao-hoa-hoc-tro/,0,0,0.00,1,130,"71, 43, 14, 43, 14, 14, 100, 14, 29, 14, 71, 57",2026-07-09,"Sitelinks, Reviews, Video, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic
chế độ xem phố,33,33,390,34,0.01,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.09,124,"36, 36, 82, 54, 44, 54, 44, 24, 100, 67, 82, 82",2026-07-27,"Sitelinks, Reviews, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
cách bật chế độ xem phố trên google map,14,14,90,52,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.02,105,"0, 0, 0, 0, 0, 0, 0, 1, 24, 7, 100, 1",2026-06-25,"Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
báo thủ đô,23,23,210,42,0.00,https://brando.vn/bang-gia-quang-cao-bao-an-ninh-thu-do/,0,0,0.00,0.33,111,"67, 100, 54, 67, 67, 82, 54, 28, 54, 44, 44, 36",2026-07-25,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
quảng cáo trên google map,25,25,30,20,0.40,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.82,104,"14, 14, 14, 14, 100, 14, 14, 57, 14, 100, 29, 43",2026-07-04,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
conando,34,34,110,13,0.00,https://brando.vn/cong-ty-brando-phat-bieu-muc-tieu-2020-trong-year-end-party-conando/,0,0,0.00,0,67600,"100, 81, 52, 81, 43, 33, 33, 33, 33, 33, 52, 33",2026-06-14,"Reviews, Video, Video Carousel",informational,Organic
