domain,dr
baocamau.vn,58.0
baolaocai.vn,58.0
tapchixaydung.vn,58
baophutho.vn,59.0
wiki.batdongsan.com.vn,59
emdep.vn,60.0
nguoidothi.net.vn,60
suckhoeviet.org.vn,60
advertisingvietnam.com,61.0
baothuathienhue.vn,61.0
tiin.vn,61
autopro.com.vn,62.0
bienphong.com.vn,62.0
doanhnghiephoinhap.vn,62.0
huengaynay.vn,63.0
scholarlyoa.com,63
vnreview.vn,63
bongdaplus.vn,65.0
baothanhhoa.vn,66.0
baotuyenquang.com.vn,66.0
baovanhoa.vn,66.0
doanhnghiepvn.vn,66.0
gamek.vn,66.0
nguoiquansat.vn,66
sohuutritue.net.vn,66
vietnammoi.vn,66
baocantho.com.vn,67.0
congluan.vn,67.0
nhipcaudautu.vn,67
reatimes.vn,67
thuonghieucongluan.com.vn,67
alobacsi.com,68.0
baoangiang.com.vn,68.0
baothainguyen.vn,68.0
ngoisao.vn,68
phunutoday.vn,68
baoquangninh.vn,69.0
baotayninh.vn,69.0
tapchikientruc.com.vn,69
techz.vn,69
whatmouse.com,69
baogialai.com.vn,70.0
baolamdong.vn,70.0
baonghean.vn,70.0
congan.com.vn,70.0
congly.vn,70.0
megaincomestream.com,70
ngoisao.net,70
petrotimes.vn,70
phunuvietnam.vn,70
saostar.vn,70
vietcetera.com,70
vietq.vn,70
webtretho.com,70
baodongnai.com.vn,71.0
baohatinh.vn,71.0
brandsvietnam.com,71.0
doisongphapluat.com.vn,71.0
vietbao.vn,71
baoquocte.vn,72.0
baoxaydung.com.vn,72.0
anninhthudo.vn,73.0
baodanang.vn,73.0
cand.com.vn,73.0
genk.vn,73.0
thethao247.vn,73
thethaovanhoa.vn,73
vietnamtourism.gov.vn,73
diendandoanhnghiep.vn,74.0
giaoducthoidai.vn,74.0
giaoducthudo.giaoducthoidai.vn,74.0
hanoimoi.vn,74.0
thesaigontimes.vn,74
vietnam.travel,74
vir.com.vn,74
baophapluat.vn,75.0
vietnambiz.vn,75
vietstock.vn,75
vtcnews.vn,75
nguoiduatin.vn,76
suckhoephapluat.nguoiduatin.vn,76
wikithammy.com,76
afamily.vn,77.0
baoxaydung.vn,77.0
cafebiz.vn,77.0
danviet.vn,77.0
eva.vn,77.0
soha.vn,77
cafeland.vn,78.0
congthuong.vn,78.0
znews.vn,78
baodautu.vn,79.0
kenh14.vn,79
plo.vn,79
tinhte.vn,79
vneconomy.vn,79
zerohedge.com,80
vietnamplus.vn,81
giadinh.suckhoedoisong.vn,82.0
laodong.vn,82
phapluat.suckhoedoisong.vn,82
suckhoedoisong.vn,82
tienphong.vn,82
vtv.vn,82
24h.com.vn,83.0
cafef.vn,83.0
nhandan.vn,83
dantri.com.vn,85.0
digitaljournal.com,86.0
thanhnien.vn,86
tuoitre.vn,86
vietnamnet.vn,86
benzinga.com,87.0
ngoisao.vnexpress.net,90
vnexpress.net,90
cnet.com,91.0
entrepreneur.com,91.0
apnews.com,92.0
businessinsider.com,92.0
cnbc.com,92.0
msn.com,92
forbes.com,94.0
news.yahoo.com,94
nytimes.com,94
