"","12","https://baogialai.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Gia Lai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","13","https://nguoidothi.net.vn/","Tạp chí điện tử Người Đô Thị","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","14","https://baolangson.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Lạng Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","15","https://baolaocai.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Lào Cai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","16","https://baoangiang.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh An Giang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","17","https://baocantho.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Cần Thơ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","18","https://truyenhinhnghean.vn/","Đài phát thanh truyền hình Nghệ An","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","19","https://thuonghieucongluan.com.vn/","Tạp chí điện tử Thương hiệu và Công luận","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","20","https://baovanhoa.vn/","Báo điện tử Báo Văn Hoá","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","21","https://tapchitoaan.vn/","Tạp chí điện tử Toà án nhân dân","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","22","https://baodanang.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Đà Nẵng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","23","https://baodongnai.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Đồng Nai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","24","https://giaoducthoidai.vn/","Cơ quan của Bộ Kế hoạch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","25","https://baophapluat.vn/","Báo điện tử Pháp luật Việt Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","26","https://vnreview.vn/","CÔNG TY TNHH VIỆT NAM ĐÁNH GIÁ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","27","https://home.vn/","CÔNG TY TNHH VIỆT NAM ĐÁNH GIÁ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","28","https://congly.vn/","Cơ quan ngôn luận toà án nhân dân tối cao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","29","https://www.anninhthudo.vn/","Cơ quan công an thành phố Hà Nội","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","30","https://hanoimoi.vn/","Báo điện tử Hà Nội Mới","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","31","https://thuonghieuvaphapluat.vn/","Tạp chí điện tử Thương hiệu và Pháp luật","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","32","https://anhp.vn/","Báo điện tử Hải Phòng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","33","https://vietq.vn/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
