"CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG DANASEO MST: 0402001765 | STK 1105275555 - Vietcombank Đà Nẵng Email: contact@danaseo.net - Hotline: 0935 366 228 Đơn hàng từ 3tr tặng 1 GP (tối đa 5 gp), XEM LIST GP TẶNG FREE Stt","Tên báo","GIÁ 
BAO CONTENT (vi)","Yêu cầu bài viết","","","","","","","","","","","","","",""
"1","KHÁCH HÀNG VUI LÒNG ĐỌC KỸ QUY ĐỊNH (CK MUA BÁO MẶC ĐỊNH ĐỒNG Ý)","","","","","","","","","","","","","","","",""
"2","Giá đã bao gồm content lên báo tỉnh, KH chỉ cần gửi anchor text và URL","","","","","","","","","","","","","","","",""
"3","Giá chưa bao gồm VAT 8%","","","","","","","","","","","","","","","",""
"4","Công ty có xuất hóa đơn VAT và hợp đồng đầy đủ cho KH công ty","","","","","","","","","","","","","","","",""
"5","Cọc tối thiểu 50% để viết bài và đăng báo, 100% với báo lớn","","","","","","","","","","","","","","","",""
"6","Chỉ nhận các bài viết lĩnh vực được cho phép của pháp luật.","","","","","","","","","","","","","","","",""
"7","Không quảng bá ngôn từ đả kích, tuyên truyền chống phá nhà nước, tác phẩm đồi trụy...","","","","","","","","","","","","","","","",""
"8","Cần có giấy phép kinh doanh đầy đủ.","","","","","","","","","","","","","","","",""
"9","Các đầu báo là sự quản lý của nhà nước - cục thông tin, nên khi bài viết đăng tải chúng tôi cam kết không bao giờ được xóa khi không có sự cho phép của KH nhưng còn link out ra ngoài thì báo có quyền xem gỡ bỏ nếu về sau trang đích của bạn chỉnh sửa vi phạm pháp luật hay tuyên truyền chống phá nhà nước, trang bị công an niêm phong....","","","","","","","","","","","","","","","",""
"10","Bài đăng lên báo là tồn tại theo domain/chính sách từng báo. (BH tối thiểu 1 năm, TH site tạm dừng hoạt động, bất khả kháng không BH)","","","","","","","","","","","","","","","",""
"11","Hiện tại theo hợp đồng ký kết thì 100% chèn link dof và nof tùy theo từng site, tuy nhiên có thể sau này các Báo thay đổi chính sách hoặc quy định của Nhà nước chuyển từ dof về nof hoặc xóa bỏ không chèn link.","","","","","","","","","","","","","","","",""
"12","Khách hàng vui lòng check kỹ bài demo trước khi gửi, nếu sai sót do bạn thì báo không chỉnh sửa, chúng tôi cũng không chịu trách nhiệm. Bạn vẫn phải thanh toán đủ 100%.","","","","","","","","","","","","","","","",""
"13","Bài đăng là theo đúng chính sách báo/tin tức/tạp chí - nhưng có 1 số trường hợp trang báo do bị hack; làm sai pháp luật bị Nhà Nước xóa thì bài của KH trên đó cũng bị xóa hoặc mất, mong KH thông cảm và chấp nhận.","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","",""
"16","Khách hàng vui lòng đọc kỹ các quy định trên trước khi thanh toán, nếu không thắc mắc mặc định đồng ý với quy định của chúng tôi!","","","","","","","","","","","","","","","",""
