Keyword,Intent,Volume,Trend,Keyword Difficulty,SERP Features
những bài pr hay,,20,"0.29,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,
những bài viết pr sản phẩm hay,,20,"0.25,0.25,1.00,0.75,0.25,0.25,0.25,0.25,0.25,1.00,0.50,0.25",,
những mẫu bài pr hay,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.14,0.29,0.14,0.57,0.43",,
thuê viết bài pr,,20,"0.44,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,
viết bài pr,,20,"0.20,0.20,0.40,0.20,1.00,0.20,0.20,0.40,0.20,0.40,0.20,0.40",,
viết bài pr báo chí,,20,"0.20,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.60,0.60,1.00",,
viết bài pr cho doanh nghiệp,,20,"0.11,0.11,0.22,0.22,0.22,0.11,0.11,1.00,0.11,0.11,0.11,0.11",,
viết bài pr cho sản phẩm,,20,"0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.57,0.14,0.29,0.14,0.00",,
viết bài pr chuẩn seo,,20,"0.20,1.00,0.20,0.20,0.20,0.40,0.60,0.20,0.20,0.20,0.20,0.20",,
viết bài pr sản phẩm,,20,"0.43,0.14,0.29,0.43,0.14,0.14,0.29,0.29,0.14,0.14,0.14,1.00",,
viết bài pr theo công thức 3s,,20,"0.14,0.29,0.71,0.14,0.14,0.29,0.29,0.14,0.71,0.14,0.14,1.00",,
booking bài pr,,10,"0.33,0.33,0.33,0.33,1.00,0.33,0.33,1.00,0.33,0.67,0.33,0.33",,
bài pr về nhà hàng,,10,"0.00,0.00,0.00,0.50,1.00,0.00,0.25,0.25,0.50,0.25,0.25,0.00",,
bài viết pr khách sạn,,10,"0.14,0.00,0.14,0.00,0.29,1.00,0.00,0.00,0.00,0.00,0.00,0.14",,
bài viết pr mẫu,,10,"0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25",,
báo giá đăng bài pr trên kênh 14,,10,"0.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.50,1.00,0.50,0.00",,
báo giá đăng bài pr trên vnexpress,,10,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00",,
ctv viết bài pr,,10,"0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,1.00,0.33,0.33",,
các bài pr hay,,10,"0.50,0.00,1.00,1.00,0.50,0.50,0.50,0.50,0.00,0.00,0.50,0.00",,
cách viết bài pr chuẩn seo,,10,"0.25,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.25,0.00,1.00",,
cách viết bài pr sự kiện,,10,"0.00,0.00,0.00,0.14,1.00,0.71,0.14,0.14,0.00,0.00,0.14,0.00",,
cộng tác viên viết bài pr,,10,"1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00",,
giá viết bài pr,,10,"0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.25",,
mẫu bài pr sản phẩm,,10,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.25,1.00,0.25,0.25",,
viết bài pr cho sự kiện,,10,"0.67,0.33,0.33,0.33,0.33,0.33,0.33,1.00,1.00,0.33,0.33,0.33",,
đăng bài pr trên báo,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00,0.75,0.00,0.00,0.00",,
1 pr 2 4-9 bài đọc,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
1 số bài viết pr son,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
12 cách viết tiêu đề cho bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
3 công thức viết bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
3 dang bài viết pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
64 từ khóa trong viết bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
adverter bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency book bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency book bài pr trên báo cnn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency book bài pr trên các báo nước ngoài,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency book bài pr trên times new,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency book bài pr được các báo online nước ngoài,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency tuyển ctv viết bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency tuyển team viết bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency tuyển viết bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
agency đăng bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
balo bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao gia bài pr báo saigon time,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao gia bài pr giaoduc.net.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giaá viết bài pr cafef,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giá bài pr báo xa luan điện tử,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giá bài pr dmtin,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giá bài pr theleader,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giá bài pr thế giới tiếp thị online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giá bài pr xa luan online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bao giá bài pr xaluan online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr an ninh thủ đô online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr baodautu.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr báo thanh niên online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr báo vsao,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr báo vsao điện tử,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr báo xã luận điện tử,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr báo đầu tư,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr báo đầu tư 2019,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr dantri,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr eva,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr người lao động,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr thiếu niên tiền phong online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr tiếp thị gia đình báo giấy,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr trên báo baodautu.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr vietnam economic times online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr vietnamnet,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr vir online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr vnexpress,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá bài pr zing news,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá gói đăng bài pr trên ngôi sao.net,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr 24h.com.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr afamily.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr baodautu.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr batdongsan.com.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr cafebiz,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr cafef,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr dân trí,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr eva.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr giadinh.net,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr ictnew,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr otofun,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr phunuonline,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr soha,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr thanh niên,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr thethaovanhoa,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr tuoitre,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr vietnamexpress,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr vietnamnet,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr vneconomy,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr vnexpress,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá lên bài pr zing,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
baáo giá đăng bài pr trên soha,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
biểu giá bài pr báo công thương online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
biểu giá bài pr báo công thương điện tử,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
book bài pr admicro,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
book bài pr trên báo nước ngoài cnn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
book bài pr trên báo nước ngoài time,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
book bài pr trên tạp chí bác sĩ gia đình,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
booking bài pr báo batdongsan.com.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
booking bài pr báo online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
booking bài pr trên tiếp thị và gia đình,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
booking viết bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
box thông tin bài pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
by-liner bài pr có qc chân trang,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài biết pr cho nội thất,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài biết pr cho sản phẩm nước giải khát,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài báo pr chuyên,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài báo pr chuyên mục tài trợ tư vấn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài báo pr thuộc công cụ quảng cáo nào,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài báo pr về sàn văn phòng,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài demographic trong pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài dịch về nhân viên pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài giảng pr truyền thông,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài học pr từ sunlight,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài mẫu pr,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài mẫu pr sự kiện,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài mẫu pr về món nga,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr 400 chữ,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr aroma resort trên dân trí bị xóa,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr aroma resort trên dântrí bị xóa,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr bao nhiêu tiền,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr bia budweiser trên báo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr budweiser trên báo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo chíu,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo lecourrier,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo msn online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo pháp luật online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo saigon times online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo sggp hoa van online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo sggp online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr báo vtc news online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr bản thân,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr bản thân bằng tiếng nhật,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr bất động sản theo công thức,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cafef,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cao sao vàng,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho bất động sản,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho công ty thiết kế nội thất,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho gà texas,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho page,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho sản phẩm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho sản phẩm dành cho pg,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho sản phẩm mới ra mắt,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho texas,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cho trang sức kim cương,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr có chân dung quảng cáo là gì,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr có chân dung quảng cáo là gì marketing,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr có chèn tvc quảng cáo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr của acnes,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr của kols viết như thế nào,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr cực hay về nhà hàng,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr demographic,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
bài pr dân trí,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,
