Cum,Trang thai,Ma bai,Bai,URL,Tieu de dang live,Dan bai (muc luc that tren site),Tu khoa phu,Ghi chu
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R6,Booking bao Kenh14,https://digicomvn.com/book-bao-kenh14/,Book Báo Kenh14: Bảng Giá PR và Cách Đăng Bài 2026,"Theo mau chung R1 (xem R1)","báo giá booking kenh14","DR 78"
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R7,Booking bao CafeF,https://digicomvn.com/book-bao-cafef/,Book Báo CafeF: Bảng Giá Đăng Bài PR Chi Tiết 2026,"Theo mau chung R1 (xem R1)","booking báo cafef","DR 83"
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R8,Booking bao CafeBiz,https://digicomvn.com/book-bao-cafebiz/,Book Báo CafeBiz: Bảng Giá Bài PR 3 Vị Trí Đăng 2026,"Theo mau chung R1 (xem R1)","booking báo cafebiz","DR 77"
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R9,Booking bao Znews,https://digicomvn.com/book-bao-znews/,Book Báo Znews: Bảng Giá PR Theo Vị Trí & Cách Đăng 2026,"Theo mau chung R1 (xem R1)","báo giá booking znews",""
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R10,Booking bao Soha,https://digicomvn.com/book-bao-soha/,Book Báo Soha.vn: Bảng Giá Đăng Bài PR Chi Tiết 2026,"Theo mau chung R1 (xem R1)","booking báo soha",""
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R11,Booking bao aFamily,https://digicomvn.com/book-bao-afamily/,Book Báo aFamily: Bảng Giá PR & Cách Đăng Bài 2026,"Theo mau chung R1 (xem R1)","booking báo afamily","DR 77"
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R12,Booking bao Eva,https://digicomvn.com/book-bao-eva/,Book Báo Eva: Bảng Giá Đăng Bài PR & Quy Trình 2026,"Theo mau chung R1 (xem R1)","booking báo eva","DR 77"
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R13,Booking bao Webtretho,https://digicomvn.com/book-bao-webtretho/,Book Báo Webtretho: Bảng Giá PR & Cách Đăng Bài 2026,"Theo mau chung R1 (xem R1)","booking báo webtretho","DR 70"
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R14,Booking bao Dau Tu,https://digicomvn.com/book-bao-bao-dau-tu/,Book Báo Đầu Tư: Bảng Giá PR & Quy Trình Đăng Bài 2026,"Theo mau chung R1 (xem R1)","booking báo đầu tư",""
F. Theo dau bao cu the (per-outlet),Da xong (REFRESH 2026-07-17) - cung mau R1,R15,Booking bao VietNamNet,https://digicomvn.com/book-bao-vietnamnet/,Book Báo VietNamNet: Bảng Giá PR & Cách Đăng Bài 2026,"Theo mau chung R1 (xem R1)","booking báo vietnamnet","DR 86"
G. Bai supporting (chi nhan link, khong viet moi),Da co san truoc cum nay,S1,So sanh booking bao PR vs quang cao bao,https://digicomvn.com/so-sanh-booking-bao-pr-va-quang-cao-bao/,So Sánh Booking Báo PR Và Quảng Cáo Báo Chí Truyền Thống,Chua fetch chi tiet - vai tro supporting nhan internal link tu cum,"so sánh booking báo pr (intent phu)",""
G. Bai supporting (chi nhan link, khong viet moi),Da co san truoc cum nay,S2,Cach viet bai PR chuan bao chi,https://digicomvn.com/cach-viet-bai-pr-chuan-bao-chi/,Cách Viết Bài PR Chuẩn Báo Chí: Công Thức Và Cấu Trúc,Chua fetch chi tiet - vai tro supporting nhan internal link tu cum,"viết bài PR (intent phu)",""
H. Money page (dich vu - KHONG viet blog canh tranh),Da co san (dich vu),M1,Trang dich vu Booking bao & PR (pillar chinh),https://digicomvn.com/booking-bao-pr/,Booking báo & PR - trang dich vu,Trang CPT dich vu + bang gia CPT dgc_gia (khong phai blog nen khong co muc luc dang bai viet),"dịch vụ/agency booking báo chí (mua nhat)","Day la DICH DEN chinh cho keyword thuong mai dich vu/agency - khong viet blog canh tranh voi trang nay (rule A2c)"
H. Money page (dich vu - KHONG viet blog canh tranh),Da co san (dich vu),M2,Bang gia tong hop,https://digicomvn.com/bang-gia/,Bảng giá,Bang gia CPT dgc_gia loc theo nhom dich vu,"giá/bảng giá booking báo","Dich cho tu khoa gia/bang gia chung"
I. KHONG lam - Gov nhay cam,Khong lam / canh bao,X1,(khong tao trang rieng),N/A,N/A,N/A,"booking báo chính phủ","Neu hieu theo nghia .gov.vn (cong TTDT co quan nha nuoc) thi TUYET DOI khong ban (rule khong-ban-gov-edu.md). Da lam ro trong bai Nhan Dan: Nhan Dan la BAO DANG thuong mai, khac co quan .gov.vn"
J. KHONG lam - dia chi doi thu,Bo qua,X2,(khong lam),N/A,N/A,N/A,"booking báo chí, phố thọ tháp, cầu giấy, hà nội","Co ve la NAP cua 1 agency doi thu cu the (branded search) - khong phai content gap that"
K. KHONG lam - ngoai scope dich vu,Khong lam (ngoai danh muc dich vu Digicom),X3,(khong lam - hoac 1 bai dieu huong ve booking bao chi neu Hieu duyet),N/A,N/A,N/A,"báo giá booking kol/koc/fanpage/tiktok/ca sĩ/schannel","Digicom khong co dich vu booking KOL/Influencer - khong bia dich vu khong co that"
