"Kính gửi Quý Khách hàng và Đối tác!
 BẢNG BÁO GIÁ BOOK BÀI PR BÁO ĐIỆN TỬ CHÍNH THỐNG STT","SITE","CÔNG TY TNHH PINNEXA RISE MEDIA  Mail: admin.pinnexarise@gmail.com Phone: 0865452568 (Available on Zalo) Địa chỉ: Tầng 1, V11-B09 Khu đô thị mới An Hưng, Phường Dương Nội, Thành phố Hà Nội, Việt Nam. STK: 23956868 - Tại Ngân hàng Thương Mại cổ phần Kỹ Thương Việt Nam (Techcombank) - Chi nhánh Nguyễn Cơ Thạch Tất cả báo giá WEBSITE","https://drive.google.com/drive/folders/1nniNfWWgE9fEARsTaLk9gW7M8BLwP_g9 DANH MỤC - VỊ TRÍ","SỐ LƯỢNG"," NIÊM YẾT","CHIẾU KHẤU","THÀNH TIỀN","SỐ LINK","GHI CHÚ","","","","","","","","","","","","","",""
"2","Ngoisao.net","https://ngoisao.vnexpress.net/","Mục phù hợp","1","7.000.000","34,0%","4.620.000","2 link","Bài PR dưới 1000 từ, 3 ảnh; 2 link","","","","","","","","","","","","","",""
"","","","Trang chủ","1","12.000.000","34,0%","7.920.000","","","","","","","","","","","","","","","",""
"3","Dân trí (Giá mới 2026)","https://dantri.com.vn/","Tiểu mục nhóm 2: Nội vụ, Du lịch, Giáo dục, Lao động - Việc làm, Pháp luật, Tình yêu giới tính, Khoa học","1","13.000.000","41,0%","7.670.000","0 free","Bài PR dưới 1000 từ, 6 ảnh
Tiêu đề của bài không quá 11 từ, sapo không quá 45 từ
0 free link -Thêm link: 500K/1link","","","","","","","","","","","","","",""
"","","","Tiểu mục nhóm 1: Kinh doanh, Thời sự, Sức khỏe, Bất động sản, Thể thao, Giải trí, Thế giới, Ô tô - Xe máy, Công nghệ, Đời sống","1","15.000.000","41,0%","8.850.000","","","","","","","","","","","","","","","",""
"","","","Link 6,7,8,9 Chuyên mục nhóm 2 ","1","15.000.000","41,0%","8.850.000","","","","","","","","","","","","","","","",""
"","","","Link 7,8,9 Chuyên mục nhóm 1","1","20.000.000","41,0%","11.800.000","","","","","","","","","","","","","","","",""
"","","","Link 3,4,5 Nhóm 2","1","20.000.000","41,0%","11.800.000","","","","","","","","","","","","","","","",""
"","","","Link 5,6 Nhóm 1","1","30.000.000","41,0%","17.700.000","","","","","","","","","","","","","","","",""
"","","","Link 3,4 Nhóm 1","1","35.000.000","41,0%","20.650.000","","","","","","","","","","","","","","","",""
"","","","Banner","","","38,0%","0","","","","","","","","","","","","","","","",""
"4","CafeF.vn (Giá mới 2026)","https://cafef.vn/","Bài loại 9 -Thông cáo báo chí","1","6.000.000","22,0%","4.680.000","1 link","Bài PR dưới 1000 từ, tối đa 5 ảnh
Tiêu đề của bài không quá 11 từ, sapo không quá 45 từ
Thêm link: 500K/1link","","","","","","","","","","","","","",""
"","","","Bài loại 8 - Tin doanh nghiệp","1","7.500.000","22,0%","5.850.000","","","","","","","","","","","","","","","",""
"","","","Bài loại 7 Chuyên mục","1","10.000.000","22,0%","7.800.000","","","","","","","","","","","","","","","",""
"","","","Bài loại 6 - Bài số 2, 3 Chuyên mục","1","12.000.000","22,0%","9.360.000","","","","","","","","","","","","","","","",""
"","","","Bài loại 5 nổi bật chuyên mục","1","15.000.000","22,0%","11.700.000","","","","","","","","","","","","","","","",""
"5","CafeBiz.vn (Giá mới 2026)","https://cafebiz.vn/","Loại 4 Chuyên mục","1","5.000.000","22,0%","3.900.000","1 link","Độ dài không quá 1000 từ + 05 ảnh minh họa","","","","","","","","","","","","","",""
"","","","Trang chủ loại 3","1","8.000.000","22,0%","6.240.000","","","","","","","","","","","","","","","",""
"","","","Trang chủ loạ̣i 2","1","11.000.000","22,0%","8.580.000","","","","","","","","","","","","","","","",""
"7","Afamily (Giá mới 2026)","https://afamily.vn/","Bài loại 5 Chuyên mục / Loại 4 XAC","1","4.000.000","22,0%","3.120.000","1 link 
link đuôi.vn","Độ dài tất cả các tin bài không quá 1000 từ và 5 ảnh minh họa (trừ bài phóng sự ảnh, bài tương đương 1 trang A4)                        
Thêm link: 300K/1link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","","","","","","","","","","","","","",""
"","","","Bài loại 3 Box Chuyên mục / Stream 2","1","7.000.000","22,0%","5.460.000","","","","","","","","","","","","","","","",""
"","","","Bài loại 2 nổi bật mục","1","12.000.000","22,0%","9.360.000","","","","","","","","","","","","","","","",""
"8","Kenh 14","https://kenh14.vn/","Bài loại 5 Tiểu mục (Sao Việt (Star); Phim Việt, phim Âu Mỹ, 
phim Châu Á (Cine), tiểu mục của Musik; Tiểu mục Du học, 
46 News (Học Đường), 2tek vui (2tek)","1","5.000.000","22,0%","3.900.000","1 link 
link đuôi.vn","Thêm link: 300K/1link","","","","","","","","","","","","","",""
"","","","Bài loại 4 Xem ăn chơi","1","8.000.000","22,0%","6.240.000","","","","","","","","","","","","","","","",""
"","","","Bài Loại 3 STREAM 3 PC","1","10.000.000","22,0%","7.800.000","","","","","","","","","","","","","","","",""
"","","","Bài loại 2 HOME MOBILE STREAM 2","1","15.000.000","22,0%","11.700.000","","","","","","","","","","","","","","","",""
"9","Soha","https://soha.vn/","Chuyên mục","1","5.000.000","22,0%","3.900.000","1 link 
link đuôi.vn","Bài PR dưới 1000 từ, tối đa 5 ảnh
Tiêu đề dài khong quá 90 ký tự, sapp không quá 180 ký tự; 
Thêm link: 300K/1link","","","","","","","","","","","","","",""
"","","","Trang chủ streaming 3","1","7.000.000","22,0%","5.460.000","","","","","","","","","","","","","","","",""
"10","GenK.vn","https://genk.vn/","Chuyên mục","1","5.000.000","22,0%","3.900.000","1 link ","Bài PR dưới 1000 từ, 5 ảnh (trừ bài phóng sự ảnh, bài tương đương 1 trang A4);
Tiêu đề không quá 11 từ, sapo không quá 45 tử)
Thêm link: 300K/1link","","","","","","","","","","","","","",""
"","","","Trang chủ stream 2","1","8.000.000","22,0%","6.240.000","","","","","","","","","","","","","","","",""
"11","Autopro.com.vn (Giá mới 2026)","https://autopro.com.vn/","Bài loại 4 chuyên mục","1","6.000.000","22,0%","4.680.000"," 1 link  ","Bài PR dưới 1000 từ, tối đa 5 ảnh
Tiêu đề không quá 11 từ, sapo không quá 45 từ
Thêm link: 300K/1link","","","","","","","","","","","","","",""
"","","","Bài loại 3 trang chủ","1","10.000.000","22,0%","7.800.000","","","","","","","","","","","","","","","",""
"","","","Bài loại 2 trang chủ","1","15.000.000","22,0%","11.700.000","","","","","","","","","","","","","","","",""
"12","GameK","https://gamek.vn/","Trang chủ","1","10.000.000","22,0%","7.800.000","1 link","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 300K/1link","","","","","","","","","","","","","",""
"","","","Mục phù hợp","1","6.000.000","22,0%","4.680.000","","","","","","","","","","","","","","","",""
"13","VTV (Giá mới 2026)","https://vtv.vn/","Loại 7 Chuyên mục","1","6.000.000","19,0%","4.860.000","0 free","Bài PR dưới 1000 từ, tối đa 5 ảnh (trừ bài phóng sự ảnh), bài tương đương 1 trang A4, 
Tiêu đề, sapo (tóm tắt tin): Tiêu đề của bài không quá 11 từ, sapo không quá 40 từ
Thêm link: 3tr/1link","","","","","","","","","","","","","",""
"","","","Loại 6 nổi bật chuyên mục","1","12.000.000","19,0%","9.720.000","","","","","","","","","","","","","","","",""
"14","Tuổi trẻ (Giá mới 2026)","https://tuoitre.vn/","Trang chuyên mục Cần biết","1","7.000.000","33,0%","4.690.000","không chèn link","Bài PR dưới 1000 từ, tối đa 5 ảnh
không bán link","","","","","","","","","","","","","",""
"","","","Hiển thị trang chủ","1","10.000.000","22,0%","7.800.000","","","","","","","","","","","","","","","",""
"","","","Trang chuyên mục Nhóm 3: Trang cấp 2 của các chuyên mục Nhóm 1 và 2, Việc làm, Tuổi Trẻ Cười, Giả - Thật","1","15.000.000","22,0%","11.700.000","","","","","","","","","","","","","","","",""
"","","","Trang chuyên mục Nhóm 2: Video, Xe, Du lịch, Văn hóa, Giải trí, Nhịp sống trẻ, Bạn đọc, Doanh nghiệp, Khoa học","1","20.000.000","22,0%","15.600.000","","","","","","","","","","","","","","","",""
"15","Thanh niên (Giá mới 2026)","https://thanhnien.vn/","PR Cần biết - Tin ngắn","1","4.000.000","20,0%","3.200.000"," 2 link, tin ngắn free 1 link ","300 chữ + 1 ảnh + 1link - thêm chữ: 8k/1 chữ
Thêm link: 500K/1link","","","","","","","","","","","","","",""
"","","","Tin chuyên mục con Nhóm 2: Giáo dục, Du lịch, Giải trí, Giới trẻ, Văn hóa.

","1","5.000.000","20,0%","4.000.000","","Bài PR dưới 1000 từ, tối đa 5 ảnh, 2 link        
Title không quá 17 chữ, sapo không quá 48 chữ, Bài/Tin PR để chữ: ""Nguồn:,,,"", ""Thông tin dịch vụ"", ""Thông tin doanh nghiệp
Thêm link: 500K/1link","","","","","","","","","","","","","",""
"","","","Tin chuyên mục con Nhóm 1: Kinh tế, Tiêu dùng, Công nghệ-Game, Đời sống, Sức khỏe, Thể thao, Emagazine, Xe. 

","1","6.000.000","20,0%","4.800.000","","","","","","","","","","","","","","","",""
"","","","Chuyên mục con nhóm 1","1","15.000.000","20,0%","12.000.000","","","","","","","","","","","","","","","",""
"16","24h.com.vn","https://www.24h.com.vn/","PR loại 2 nhóm 2 (giáo dục, giải trí, thời trang đời sống, xe….)","1","5.000.000","33,0%","3.350.000","3 link, pr cá nhân 1 link ","Bài PR dưới 1000 từ, dưới 5 ảnh
Thêm link: 1tr/1link","","","","","","","","","","","","","",""
"","","","PR loại 2 nhóm 1 (kinh doanh, TTTD,…)","1","6.000.000","33,0%","4.020.000","","","","","","","","","","","","","","","",""
"17","Tiền phong","https://tienphong.vn/","Trang chuyên mục (xã hội, kinh tế, giải trí, sức khoẻ…)","1","6.000.000","35,0%","3.900.000","1 link đuôi.vn","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link: 2tr/1link","","","","","","","","","","","","","",""
"","","","Top 2,3,4 trên trang chủ (thể thao, giáo dục, sức khoẻ...)","1","10.000.000","35,0%","6.500.000","","","","","","","","","","","","","","","",""
"","","","Top 1 trang chủ (giáo dục, giải trí, thể thao….)","1","12.000.000","35,0%","7.800.000","","","","","","","","","","","","","","","",""
"18","Vtcnews (Giá mới 2026)","https://vtc.vn/","Từ top 6 trở xuống Chuyên mục nhóm 1 (Thời sự; Kinh tế)","1","5.000.000","43,0%","2.850.000"," 1 link  ","Bài PR dưới 1000 từ, dưới 3 ảnh
không bán link","","","","","","","","","","","","","",""
"","","","Từ Top 4 trở xuống - Chuyên mục nhóm 2 (Các chuyên mục còn lại (trừ chuyên mục Doanh nghiệp - Doanh nhân; Trẻ).","1","5.000.000","43,0%","2.850.000","","","","","","","","","","","","","","","",""
"","","","Chuyên mục Doanh nghiệp - Doanh nhân; Trẻ","1","5.000.000","43,0%","2.850.000","","","","","","","","","","","","","","","",""
"","","","Top 2-3 chuyên mục nhóm 2","1","8.000.000","43,0%","4.560.000","","","","","","","","","","","","","","","",""
"","","","Top 2-5 chuyên mục nhóm 1","1","15.000.000","43,0%","8.550.000","","","","","","","","","","","","","","","",""
"19","Zingnews","https://znews.vn/","Mục Thông tin doanh nghiệp/Tiểu mục","1","10.000.000","31,0%","6.900.000"," 1-2 link  ","Bài PR dưới 1000 từ, tối đa 3 ảnh","","","","","","","","","","","","","",""
"20","Báo Mới","https://baomoi.com/","Tiểu mục phù hợp","1","8.000.000","31,0%","5.520.000","","","","","","","","","","","","","","","",""
"21","Vietnamnet (Giá mới 2026)","https://vietnamnet.vn/","Tiểu mục từ Top 6 trở xuống","1","6.000.000","31,0%","4.140.000","0 link ","Bài PR dưới 1000 từ, tối đa 5 ảnh, tiêu đề không quá 12 chữ
5tr/link, chỉ chèn trong 3 tháng mất link","","","","","","","","","","","","","",""
"","","","Top 2-5 Tiểu mục","1","8.000.000","31,0%","5.520.000","","","","","","","","","","","","","","","",""
"","","","Top 1 Tiểu mục ","1","10.000.000","31,0%","6.900.000","","","","","","","","","","","","","","","",""
"","","","Top 9 trở xuống","1","12.000.000","31,0%","8.280.000","","","","","","","","","","","","","","","",""
"22","Vietnambiz","https://vietnambiz.vn/","Chuyên mục","1","3.000.000","38,0%","1.860.000"," 0 free link ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 500k/link 

","","","","","","","","","","","","","",""
"","","","Chuyên mục có title ở trang chủ","1","5.000.000","38,0%","3.100.000","","","","","","","","","","","","","","","",""
"","","","Nổi bật chuyên mục có title ở trang chủ","1","10.000.000","38,0%","6.200.000","","","","","","","","","","","","","","","",""
"23","Vietnammoi","https://vietnammoi.vn/","Chuyên mục cần biết","1","3.000.000","38,0%","1.860.000"," 0 free link ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 500k/link ","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","5.000.000","38,0%","3.100.000","","","","","","","","","","","","","","","",""
"","","","Tiêu điểm chuyên mục","1","7.000.000","38,0%","4.340.000","","","","","","","","","","","","","","","",""
"23","Lao động","https://laodong.vn/","Thông tin doanh nghiệp","1","7.000.000","25,0%","5.250.000","0 free link","Bài PR dưới 600 từ, 3 ảnh
Để link mất phí 3tr/1 link No","","","","","","","","","","","","","",""
"24","Tinnhanhchungkhoan.vn (Giá mới 2026)","https://www.tinnhanhchungkhoan.vn/","Loại 6 - Thông báo - Bố cáo","1","5.000.000","36,0%","3.200.000","","Bài PR dưới 900 từ, 2 ảnh","","","","","","","","","","","","","",""
"","","","Loại 5 - Bài hiển thị trang chủ, mục chuyển động doanh nghiệp","1","5.000.000","36,0%","3.200.000","","","","","","","","","","","","","","","",""
"","","","Loại 4 - Bài hiển thị trang chủ, vị trí tiêu điểm 1 chuyên mục (2h)","1","9.000.000","36,0%","5.760.000","","","","","","","","","","","","","","","",""
"25","Baodautu.vn (Giá mới 2026)","https://baodautu.vn/","TT doanh nghiệp","1","5.000.000","38,0%","3.100.000","không chèn link","Bài PR dưới 900 từ, 2 ảnh
Title dưới 20 từ, sapo dưới 40 từ, I601 triệu/ 01 hyperlink","","","","","","","","","","","","","",""
"","","","Bài thường Chuyên mục","1","8.000.000","38,0%","4.960.000","","","","","","","","","","","","","","","",""
"","","","Bài chính chuyên mục","1","11.000.000","38,0%","6.820.000","","","","","","","","","","","","","","","",""
"26","VIR.com.vn","https://vir.com.vn/","Bài chuyên mục","1","7.000.000","37,0%","4.410.000","","Dưới 1000 từ, 5 ảnh, không gắn link
Thêm link: 3tr3/link ","","","","","","","","","","","","","",""
"","","","Bài chính chuyên mục","1","10.000.000","37,0%","6.300.000","","","","","","","","","","","","","","","",""
"27","Batdongsan","https://batdongsan.com.vn/","Hiển thị trang chủ","1","25.000.000","25,0%","18.750.000","2 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"28","Vietstock","https://vietstock.vn/","Bạn cần biết","1","1.700.000","0,0%","1.700.000"," 2 link  ","Bài PR dưới 1000 từ, tối đa 3 ảnh
Thêm link: 500k/link ","","","","","","","","","","","","","",""
"","","","Tin chính 2 Chứng khoán/ Doanh nghiệp/ BĐS/ Tài chính (giờ thường)","1","9.000.000","15,0%","7.650.000","","","","","","","","","","","","","","","",""
"","","","Tin chính 2 chuyên mục khác","1","4.500.000","15,0%","3.825.000","","","","","","","","","","","","","","","",""
"","","","Tin chính chuyên mục khác","1","7.000.000","15,0%","5.950.000","","","","","","","","","","","","","","","",""
"29","Cafeland (Giá mới 2026)","https://cafeland.vn/","Tin ngắn/Sự kiện ","1","5.000.000","14,0%","4.300.000","","Bài PR 400 chữ, 1 ảnh","","","","","","","","","","","","","",""
"","","","PR Trang chủ Tiêu chuẩn","1","12.000.000","14,0%","10.320.000","1 link","Bài PR dưới 800 từ, 2 ảnh","","","","","","","","","","","","","",""
"","","","PR Trang chủ Nổi bật","1","18.000.000","14,0%","15.480.000","1 link","Bài PR 1000 chữ, 3 ảnh","","","","","","","","","","","","","",""
"30","Nhipcaudautu","https://nhipcaudautu.vn/","Tin ngắn 300 chữ","1","5.000.000","33,0%","3.350.000","1 link","Bài PR dưới 1000 từ, 3 ảnh, Tiêu đề không quá 10-13 từ, Sapo tối đa 32 từ,","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","12.000.000","33,0%","8.040.000","","","","","","","","","","","","","","","",""
"32","2Sao","https://2sao.vn//","Top 12 trang chuyên mục trở xuống","1","2.500.000","25,0%","1.875.000","0 free link","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 6tr/link ","","","","","","","","","","","","","",""
"","","","Top 6-11 trang chuyên mục","1","3.000.000","25,0%","2.250.000","","","","","","","","","","","","","","","",""
"","","","Top 1 box chuyên mục tại trang chủ","1","6.000.000","25,0%","4.500.000","","","","","","","","","","","","","","","",""
"32","Alobacsi","https://alobacsi.com/","Mục phù hợp","1","2.000.000","20,0%","1.600.000"," 1 link  ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 500k/link ","","","","","","","","","","","","","",""
"","","","Trang chủ","1","7.000.000","20,0%","5.600.000","","","","","","","","","","","","","","","",""
"33","Sức khoẻ đời sống (Giá mới 2026)","https://suckhoedoisong.vn/","Bài PR loại 6 - Hiển thị CM trang trong 2h","1","5.000.000","31,0%","3.450.000"," 1 link  ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 500k/link ","","","","","","","","","","","","","",""
"","","","Bài PR loại 5 - Hiển thị 3,4,5 CM trang chủ","1","10.000.000","31,0%","6.900.000","","","","","","","","","","","","","","","",""
"34","Giadinh.suckhoedoisong","https://giadinh.suckhoedoisong.vn/","Hiển thị trong chuyên mục","1","3.000.000","25,0%","2.250.000"," 1 link  ","Bài PR dưới 1000 ừ, dưới 3 ảnh
Tiêu đề của bài không quá 11 từ, sapo không quá 45 từ
Thêm link: 500k/link ","","","","","","","","","","","","","",""
"","","","Trang chủ","1","6.000.000","25,0%","4.500.000","","","","","","","","","","","","","","","",""
"35","Saostar","https://www.saostar.vn/","Mục phù hợp","1","4.000.000","31,0%","2.760.000"," 2 link  ","Bài PR dưới 1000 từ, 5 ảnh
Tiêu đề không quá 20 từ
Thêm link:1tr/link ","","","","","","","","","","","","","",""
"36","Yeah1 (Giá mới 2026)","https://yeah1.com/","Tin chuyên mục","1","5.000.000","43,0%","2.850.000"," 1 link  ","Tối đa 1200 từ +6 ảnh (Bài thường) và không quá 350 từ + 10 ảnh(bài tin ảnh)Tiêu đề của bài không quá 11 từ, sapo không quá 45 từ
Thêm link: 300k/link ","","","","","","","","","","","","","",""
"","","","Tin đặc biệt chuyên mục","1","8.000.000","35,0%","5.200.000","","","","","","","","","","","","","","","",""
"","","","Tiêu điểm chuyên mục","1","10.000.000","35,0%","6.500.000","","","","","","","","","","","","","","","",""
"36","Tinmoi.vn","https://tinmoi.vn/","Tiểu mục","1","2.000.000","0,0%","2.000.000"," 1 link ","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link: 300k/link ","","","","","","","","","","","","","",""
"37","Tiin ","https://tiin.vn/","Mục phù hợp","1","3.000.000","23,0%","2.310.000","","Bài PR dưới 1000 từ, tối đa 5 ảnh
Tối đa 10 ảnh/bài viết ","","","","","","","","","","","","","",""
"38","Reatimes","https://reatimes.vn/","Loại 4 Chuyên mục","1","7.000.000","28,0%","5.040.000","","Độ dài không quá 1,200 từ và 6 ảnh minh họa (Trừ bài phóng sự ảnh)Chỉ được gắn 1 link trong bài viết, thể hiện dưới dạng http:/www,,,","","","","","","","","","","","","","",""
"","","","Loại 3 Top 1 chuyên mục trên trang chủ","1","10.000.000","28,0%","7.200.000","","","","","","","","","","","","","","","",""
"39","Vneconomy (Giá mới 2026)","https://vneconomy.vn/","Vị trí 4 - Chuyên mục","1","12.000.000","33,0%","8.040.000","","Độ dài không quá 1,200 từ và 6 ảnh minh họa","","","","","","","","","","","","","",""
"","","","Vị trí 5 - Mục sự kiện - hiển thị ảnh và tiêu đề về sự kiện tại trang chủ","1","15.000.000","33,0%","10.050.000","","","","","","","","","","","","","","","",""
"40","Ngoisao.vn","https://ngoisao.vn/","Mục phù hợp","1","4.000.000","43,0%","2.280.000"," 2 link  ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 300k/link ","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","6.000.000","43,0%","3.420.000","","","","","","","","","","","","","","","",""
"","","","Trang chủ","1","10.000.000","43,0%","5.700.000","","","","","","","","","","","","","","","",""
"41","Phunutoday","https://phunutoday.vn/","PR Trang trong","1","3.300.000","0,0%","3.300.000","","Bài PR dưới 800 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"","","","Bài PR ở top chuyên mục","1","5.500.000","13,0%","4.785.000","","","","","","","","","","","","","","","",""
"42","Phunuonline","https://www.phunuonline.com.vn/","Top 2,3,4 chuyên mục","1","5.500.000","21,0%","4.345.000"," 2 link ","Độ dài không quá 800 từ + 5 ảnh","","","","","","","","","","","","","",""
"","","","Top 1 chuyên mục","1","7.700.000","21,0%","6.083.000","","","","","","","","","","","","","","","",""
"","","","Box 3 - Vị trí 2,3,4","1","9.900.000","21,0%","7.821.000","","","","","","","","","","","","","","","",""
"43","PhunuVietNam","https://phunuvietnam.vn/","Trong chuyên mục","1","4.000.000","24,0%","3.040.000",""," Title dưới 11 từ, sapo dưới 45 từ","","","","","","","","","","","","","",""
"44","Eva","https://eva.vn/","Tiểu mục","1","5.000.000","33,0%","3.350.000"," 2 link, pr cá nhân 1 link ","Bài PR dưới 1000 từ, tối đa 5 ảnh
Thêm link: 1tr/link ","","","","","","","","","","","","","",""
"44","Dân việt ","https://danviet.vn/","Bài thường trả link","1","3.000.000","10,0%","2.700.000"," 0 link ","Bài PR dưới 1000 từ, dưới 5 ảnh
Thêm link: 1tr5/link ","","","","","","","","","","","","","",""
"","","","Top 2 Mục Doanh nghiệp – Trang chủ","1","5.000.000","10,0%","4.500.000","","","","","","","","","","","","","","","",""
"","","","Top 3 Tiểu mục","1","8.000.000","10,0%","7.200.000","","","","","","","","","","","","","","","",""
"46","Saigongiaiphong","https://www.sggp.org.vn/","Tin ngắn Chuyên mục phụ","1","5.000.000","14,0%","4.300.000","","Tiểu mục 800 chữ 2 ảnh","","","","","","","","","","","","","",""
"","","","Tin ngắn Chuyên mục chính","1","6.000.000","14,0%","5.160.000","","Tin ngắn tiểu mục 250 chữ 1 ảnh","","","","","","","","","","","","","",""
"47","Vov","https://vov.vn/","Trang chuyên mục","1","5.000.000","25,0%","3.750.000","0 free link ","Bài PR dưới 1000 từ, 2 ảnh, dư ảnh phí 300k/ảnh
1tr/link, đang tạm ngừng bán link","","","","","","","","","","","","","",""
"48","Tinhte","https://tinhte.vn/","Chuyên mục phù hợp","1","12.000.000","17,0%","9.960.000","01 link","Bài < 1000 chữ, có chữ [QC] ở đầu tiêu đề, Bài được chèn tối
đa 01 link video dẫn từ YouTube của Nhãn hàng,","","","","","","","","","","","","","",""
"","","","Hiển thị trang chủ","1","20.000.000","17,0%","16.600.000","","","","","","","","","","","","","","","",""
"49","Webtretho","https://www.webtretho.com/","Mục phù hợp","1","6.000.000","17,0%","4.980.000","1 link","Bài PR dưới 1000 từ,  3 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","17.000.000","25,0%","12.750.000","","","","","","","","","","","","","","","",""
"50","Vietnamnews","https://vietnamnews.vn/","Đặt tại các trang chuyên mục economy, society, lifestyle, sport","1","","22,0%","0",""," 400-600 từ, 1-2 ảnh, Không gắn link, Phí mua link 500K/link No","","","","","","","","","","","","","",""
"52","Diễn đàn doanh nghiệp","https://diendandoanhnghiep.vn/","Mục doanh nghiệp - thị trường / TTDN/ SP- thị trường","1","2.700.000","0,0%","2.700.000","1 link ","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"","","","Top 3 Bài nổi bật chuyên mục trên trang chủ","1","8.000.000","27,0%","5.840.000","","","","","","","","","","","","","","","",""
"","","","Top 2 Bài nổi bật chuyên mục trên trang chủ","1","10.000.000","27,0%","7.300.000","","","","","","","","","","","","","","","",""
"53","TechZ","https://www.techz.vn/","Hiển thị trong chuyên mục","1","2.500.000","0,0%","2.500.000"," 1 link  ","Bài PR dưới 1000 từ, 3 ảnh 
Thêm link: 500k/link 
","","","","","","","","","","","","","",""
"54","Doanhnhansaigon","https://doanhnhansaigon.vn/","Tin ngắn (400 chữ, 2 ảnh)","1","3.000.000","13,0%","2.610.000","1 link ","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"","","","Chuyên mục SKDN","1","8.000.000","13,0%","6.960.000","","","","","","","","","","","","","","","",""
"55","Làm cha mẹ","https://lamchame.vn/","Chuyên mục","1","2.000.000","25,0%","1.500.000","1 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"56","Đời sống pháp luật","https://www.doisongphapluat.com/","Mục cần biết","1","1.500.000","0,0%","1.500.000","","Bài PR dưới 1200 từ, 6 ảnh","","","","","","","","","","","","","",""
"56","Người đưa tin","https://www.nguoiduatin.vn/","Mục cần biết","1","1.500.000","0,0%","1.500.000","","Bài PR dưới 800 từ - 3 ảnh
","","","","","","","","","","","","","",""
"","","","Chuyên mục phù hợp","1","3.000.000","30,0%","2.100.000","","","","","","","","","","","","","","","",""
